id,process_id,device,context,stream,kernel,grid,block,operator,domain,duration_ns,memory_level,memory_bytes,dram_bytes,flops,ai_flops_per_byte,performance_tflops,status
43,2366711,0,1,7,_softmax_prefix_suffix_mask_vector,"(100, 1, 1)","(128, 1, 1)",step00.layer04._softmax_prefix_suffix_mask_vector.line1911/_softmax_prefix_suffix_mask_vector,bf16_tensor,19008.0,l2,567104.0,,0.0,,,zero_counted_flops
43,2366711,0,1,7,_softmax_prefix_suffix_mask_vector,"(100, 1, 1)","(128, 1, 1)",step00.layer04._softmax_prefix_suffix_mask_vector.line1911/_softmax_prefix_suffix_mask_vector,fp32_simt,19008.0,l2,567104.0,,2528000.0,4.45773614716172,0.13299663299663297,ok
44,2366711,0,1,7,_matmul_small,"(104, 1, 1)","(128, 1, 1)",step00.layer04._matmul_small.line1921/_matmul_small,bf16_tensor,16416.0,l2,3418368.0,,54525952.0,15.950872463116903,3.321512670565302,ok
44,2366711,0,1,7,_matmul_small,"(104, 1, 1)","(128, 1, 1)",step00.layer04._matmul_small.line1921/_matmul_small,fp32_simt,16416.0,l2,3418368.0,,0.0,,,zero_counted_flops
45,2366711,0,1,7,_matmul_small_res_gate_oproj,"(128, 1, 1)","(128, 1, 1)",step00.layer04._matmul_small_res_gate_oproj.line1932/_matmul_small_res_gate_oproj,bf16_tensor,42336.0,l2,14774368.0,,268435456.0,18.16899755035207,6.340595616024188,ok
45,2366711,0,1,7,_matmul_small_res_gate_oproj,"(128, 1, 1)","(128, 1, 1)",step00.layer04._matmul_small_res_gate_oproj.line1932/_matmul_small_res_gate_oproj,fp32_simt,42336.0,l2,14774368.0,,131072.0,0.008871580835132847,0.0030959939531368104,ok
46,2366711,0,1,7,_adarms_norm_kernel,"(50, 1, 1)","(128, 1, 1)",step00.layer04._adarms_norm_kernel.line1945/_adarms_norm_kernel,bf16_tensor,18272.0,l2,468704.0,,0.0,,,zero_counted_flops
46,2366711,0,1,7,_adarms_norm_kernel,"(50, 1, 1)","(128, 1, 1)",step00.layer04._adarms_norm_kernel.line1945/_adarms_norm_kernel,fp32_simt,18272.0,l2,468704.0,,358400.0,0.7646617054686966,0.019614711033274956,ok
47,2366711,0,1,7,_matmul_small_gate,"(1, 64, 1)","(128, 1, 1)",step00.layer04._matmul_small_gate.line1954/_matmul_small_gate,bf16_tensor,90144.00000000001,l2,23317792.0,,1073741824.0,46.04817746037018,11.911406460773872,ok
47,2366711,0,1,7,_matmul_small_gate,"(1, 64, 1)","(128, 1, 1)",step00.layer04._matmul_small_gate.line1954/_matmul_small_gate,fp32_simt,90144.00000000001,l2,23317792.0,,2883584.0,0.12366453907814257,0.03198864039758608,ok
